ADNR1114-01 |Introduction to Nursing ||Selby, Margaret |18/63|Open|M 1:00 - 3:50 PM; MAIN Campus, Massie Hall , Gen'l Purpose Classroom |3|08/20/12|12/07/12
ADNR1183-01 |Fundamentals of Nursing ||Cooper, Loretta J 
Randolph, Beverly J 
Gampp, Michelle 
Combs, Jenifer R 
Snedegar, Janet L 
Ross, Jason S 
Sherman, Crystal R 
Sammons, Vanessa |18/63|Open|T 8:00 - 11:50 AM; MAIN Campus, Clark Memorial Library , Main Lecture Hall 
0:00 - 0:00 AM; Campus, Blank , blank |7|08/20/12|12/07/12
ADNR1194-01 |Nursing Care Adults/Children 1 ||Denning, Leeann E 
Cooper, Loretta J 
Burke, Cynthia A 
Daniels, Sonya D 
Turner, Kelly A 
Lattimer, Adair R 
Selby, Margaret 
Carpenter, Wenifred |-2/60|Closed|R 8:00 - 11:50 AM; MAIN Campus, Clark Memorial Library , Right Lecture Hall 
0:00 - 0:00 AM; Campus, Blank , blank |7|08/20/12|12/07/12
ADNR1197-51 |Transition to Reg Nursing ||Hamilton, Beverly A 
Cooper, Loretta J 
Clevenger, Cheryl J |17/20|Open|T 4:00 - 8:50 PM; MAIN Campus, Health Sciences , Nursing Lab |3|08/20/12|12/07/12
ADNR1254-01 |Nsg Care/Behavioral Hlth Client ||Massie, Gayle D 
Cooper, Loretta J 
Clevenger, Cheryl J 
Hammond, Cindy D |-1/63|Closed|R 1:00 - 2:20 PM; MAIN Campus, Clark Memorial Library , Left Lecture Hall 
0:00 - 0:00 AM; Campus, Blank , blank |3|08/20/12|12/07/12
ADNR2205-01 |Nursing Care Adults/Children 2 ||Conn, Barbara 
Cooper, Loretta J 
Bailey, Catherine A 
Salyers, Ashley N 
Carpenter, Wenifred |04/01/63|Open|R 8:00 - 11:50 AM; MAIN Campus, Clark Memorial Library , Main Lecture Hall 
0:00 - 0:00 AM; Campus, Blank , blank |7|08/20/12|12/07/12
ADNR2225-01 |Current Issues in Nursing ||Thiel, Becky A |25/60|Open|M 8:00 - 9:50 AM; MAIN Campus, Clark Memorial Library , Left Lecture Hall |2|08/20/12|12/07/12
ADNR2253-01 |Nursing Care/Childbearing Family ||Thiel, Becky A 
Hamilton, Beverly A 
Cooper, Loretta J 
Combs, Jenifer R 
Jackson, Theresa C H |01/01/60|Open|R 1:00 - 2:20 PM; MAIN Campus, Advanced Technology Ctr , Tiered Lecture Hall 
0:00 - 0:00 AM; Campus, Blank , blank |3|08/20/12|12/07/12
